#,Name,Type,Title,Outlet,Semester
1,"Adedipe, Adebimpe O",Poster Presentation,The Struggle for Schizophrenia Treatment: An Interprofessional Approach. ,XXXVth International Congress on Law and Mental Health.,Summer 2022
174,"Giuffre, Suzanne M",Journal Publication,Rethinking Ankle-Foot Orthosis Design: Feasibility Study of the Flexible AFO,Journal of Orthotics and Prosthetics,Fall 2021
175,"Giuffre, Suzanne M",Presentation,"The Importance of Teaching a Population-based Practice Curriculum, a Qualitative Study",Educational Leadership Conference,Fall 2021
176,"Giuffre, Suzanne M",Presentation,APTA Clinical Instructor Credentialing Course,OPTA- East Central District,Summer 2022
177,"Giuffre, Suzanne M",Journal Publication,Characteristics of Population-Based Practice in Physical Therapy.,Physical Therapy Journal,Fall 2022
178,"Giuffre, Suzanne M",Presentation,Characteristics of Population-Based Practica in Physical Therapy. Poster Presentation,APTA's Combined Sections Meeting,Spring 2023
179,"Gordon Pershey, Monica",Journal Publication,Utilization of an auditory-based assessment of speech sound production in children with visual impairment.,Visual Impairment and Deafblind Education Quarterly (VIDBE-Q),Summer 2020
180,"Gordon Pershey, Monica",Poster Presentation,Effects of childhood traumatic life events on children’s language and literacy. ,Annual Northeast Ohio Choose Ohio First Conference.,Spring 2021
181,"Gordon Pershey, Monica",Presentation,Developing a course blueprint for an online course.,Faculty Innovators Award - Center for Faculty Excellence,Spring 2021
182,"Gordon Pershey, Monica",Presentation,Celebrating dialect diversity: Creating a culturally and linguistically inclusive classroom,Cleveland Teaching Collaborative Summer Sandbox,Summer 2021
183,"Gordon Pershey, Monica",Poster Presentation,Effects of Childhood Traumatic Life Events on Children’s Language and Literacy Development,ASHA Schools Connect Conference,Summer 2021
184,"Gordon Pershey, Monica",Journal Publication,The relationship between speech perception and speech production in children with visual impairment. ,Journal of Visual Impairment & Blindness,Summer 2021
185,"Gordon Pershey, Monica",Other,Learning how to read: Free online materials for children and adults.  (blog),The Orange Effect Foundation website: http://theorangeeffect.org/,Fall 2021
186,"Gordon Pershey, Monica",Journal Publication,Effects of childhood traumatic life events on children’s language and literacy development.," eHearsay, Journal of the Ohio Speech-Language-Hearing Association",Spring 2022
187,"Gordon Pershey, Monica",Journal Publication,A retrospective review of dysphagia services for neurology inpatients at University Hospitals Cleveland Medical Center ,undecided,Spring 2022
188,"Gordon Pershey, Monica",Presentation,Child speech and language development: A focus on cultural and linguistic diversity.Accepted presentation was not presented due to personal family circumstances.,National Association for the Education of Young Children: 2022 Professional Learning Institute. ,Spring 2022
189,"Gordon Pershey, Monica",Journal Publication, A systematic review of aphasia therapy outcomes research,undecided,Spring 2022
190,"Gordon Pershey, Monica",Book,Grammar and syntax: Developing school-age children’s oral and written language skills.,San Diego: Plural Publishing. Writing complete in 2021. Release date in early 2022.,Spring 2022
191,"Gordon Pershey, Monica",Journal Publication,Evaluating speech-language pathologists’ transfer of continuing education learning outcomes to their practice settings,undecided,Spring 2022
192,"Gordon Pershey, Monica",Other,"Grammar and syntax: School-age children's oral language, reading comprehension, and written language skills.",https://www.speechpathology.com/articles/20q-grammar-and-syntax-for-20532,Fall 2022
193,"Gordon Pershey, Monica",Poster Presentation,Colleges’ and Universities’ Procedures for Referring Student Veterans with TBI/ABI for Speech-Language Services,American Speech-Language-Hearing Association Annual Convention,Fall 2022
194,"Gordon Pershey, Monica",Presentation,Early Literacy Development in Children with Visual Impairments,American Speech-Language-Hearing Association Annual Convention,Fall 2022
195,"Hamilton, Dorothy Jean",Other,Phd work,,Summer 2020
196,"Hamilton, Dorothy Jean",Other,PhD Dissertation,,Summer 2020
197,"Hamilton, Dorothy Jean",Presentation,Lived Experience of homeless individuals with Type 2 Diabetes Mellitus,17 th Annual Cleveland Clinic Nursing Research Conference  ,Summer 2022
198,"Hostutler, Jennifer Jo",Presentation,Socialization of the New RN,NACNS annual Conference,Fall 2021
199,"Hovland, Cynthia Ann",Journal Publication,Using the constructivist/active learning theoretical framework to develop and test a simulation-based interprofessional geriatric training curriculum,Journal of Interprofessional Education & Practice,Summer 2020
200,"Hovland, Cynthia Ann",Presentation,Navigating Virtual Caregiving,"Benjamin Rose Institute on Aging, Annual Caregiver Conference",Fall 2020
201,"Hovland, Cynthia Ann",Journal Publication,When death with dementia is “A memory seared in my brain”: Caregivers’ recommendations to healthcare professionals,Journal of Applied Gerontology,Fall 2020
202,"Hovland, Cynthia Ann",Journal Publication,Positive aspects of family caregiving for older adults at end-of-life: A qualitative examination. ,Journal of Social Work in End-of-Life & Palliative Care,Spring 2021
203,"Hovland, Cynthia Ann",Poster Presentation,A Virtual Education Experience Providing Modeling and Practice for Fall Risk Assessments and Interprofessional Team Fall Prevention Care Planning  - Presidential E- Poster,American Geriatrics Society Virtual Annual Scientific Meeting,Spring 2021
204,"Hovland, Cynthia Ann",Poster Presentation,A Virtual Education Experience Providing Modeling and Practice for Fall Risk Assessments and Interprofessional Team Fall Prevention Care Planning,American Geriatrics Society Virtual Annual Scientific Meeting,Spring 2021
205,"Hovland, Cynthia Ann",Journal Publication,Interprofessional Simulation Education and Nursing Students: Assessing and understanding empathy,Clinical Simulation in Nursing,Fall 2021
206,"Hovland, Cynthia Ann",Presentation,Adaptation of Geriatric Interprofessional Education from In-Person to Virtual. ,Gerontological Society of America Annual Scientific Meeting: Disruption to Transformation: Aging in the “New Normal.”,Fall 2021
207,"Hovland, Cynthia Ann",Presentation,When death with dementia is “A memory seared in my brain”: Caregivers’ recommendations to healthcare professionals. ,Social Work Hospice & Palliative Care Network Virtual Summit,Fall 2021
208,"Hovland, Cynthia Ann",Presentation,Positive aspects of family caregiving for older adults dying of dementia: A qualitative study at end-of-life,Social Work Hospice and Palliative Care Network General Assembly: Looking Forward and Back: Celebrating our history and the future of hospice and palliative care social work,Spring 2022
209,"Hovland, Cynthia Ann",Poster Presentation,Comparison of an In-Person vs Virtual Simulation Education Experience for Fall Risk Assessments and Interprofessional Team Care Planning,American Geriatrics Society Annual Scientific Meeting,Spring 2022
210,"Hovland, Cynthia Ann",Journal Publication,African American family caregivers share how they prepared for the death of an older adult with dementia: A pilot study of hospice care. ,Journal of Social Work in End-of-Life and Palliative Care.,Spring 2022
211,"Hovland, Cynthia Ann",Chapter,Interprofessional Education in Palliative and End-of-Life Care. ," In Interprofessional Education and Collaborative Practice- micro, meso, and macro approaches across the lifespan. ",Spring 2022
212,"Hovland, Cynthia Ann",Journal Publication,Development of Empathy Through Participation in Interprofessional Simulation: An Exploratory Study of Master of Occupational Therapy Students’ Perspectives,Occupational Therapy in Mental Health ,Spring 2022
213,"Hovland, Cynthia Ann",Journal Publication,Resourcefulness and stress among hospice and palliative care nurses: The role of positive thinking.,International Journal of Palliative Nursing,Spring 2023
214,"Huffman, Lisa Marie",Case Study,Rapid respons-Tumor Lysis Syndrome,AMerican Nurse today,Fall 2020
215,"Jennings, Emily Anne",Presentation,"Integrating Music and Speech-Language Therapy: A Collaborative Interprofessional Training Model, Ohio Speech Language Hearing Association Conference 2023",Ohio Speech Language Hearing Association Conference 2023,Spring 2023
216,"Jeziorowski, John J",Poster Presentation,The System Conditions Management Grid - A Tool to Augment Clinical REasoning and Decision-Making,Combined Sections Meeting of the American Physical Therapy Association,Spring 2021
217,"Jeziorowski, John J",Book,Comprehensivism,Emerald Necklace Press & LuLu Publishing  ISBN 979-8-218-1305-3,Spring 2023
218,"Keehan, Jane G",Poster Presentation,“Something Clicks: Foundations to Translate Health Promotion with Health Literacy Tools for DPT Students”.,APTA NEXT Phoenix Arizona ,Summer 2020
219,"Keehan, Jane G",Presentation,FRAMEWORKS FOR CURRICULUM DEVELOPMENT IN POPULATION HEALTH,Education Leadership Conference ,Fall 2020
220,"Keehan, Jane G",Poster Presentation,Mobility Matters: Health Promotion Outcomes with Diverse Fall Risk Elders after Health Literacy Randomized Intervention. ,Combined Sections ,Spring 2021
221,"Keehan, Jane G",Presentation,"The importance of teaching a population based practice curriculum, a qualitative study",Education Leadership Conference ,Fall 2021
222,"Keehan, Jane G",Poster Presentation,"The Lived Experience of Students When Using Health Literacy Tools With Older Adults. presented.  Adults.   American Physical Therapy Association Combined Sections Meeting February 2022, San Antonio, Texas. (National conference) ",Combined Sections APTA ,Spring 2022
223,"Keehan, Jane G",Presentation,Exploring Imposter Syndrome and Perfectionism in Doctor of Physical Therapy Students.,Combined Sections Meeting American Physical Therapy Association ,Spring 2023
224,"Keehan, Jane G",Poster Presentation, Characteristics of Population Based Practice,Combined Sections Meeting American Physical Therapy Association ,Spring 2023
225,"Keehan, Jane G",Journal Publication,Characteristics of Population Based Practice in Physical Therapy ,Physical Therapy Journal ,Spring 2023
226,"Keptner, Karen Marie",Journal Publication,Effectiveness of anxiety reduction interventions on state anxiety: A comparison of four techniques incorporating sensory modulation,British Journal of Occupational Therapy ,Summer 2020
227,"Keptner, Karen Marie",Journal Publication,"College students and COVID-19: Implications for mental  	health",World Federation of Occupational Therapists Bulletin,Fall 2020
228,"Keptner, Karen Marie",Journal Publication,Helping to develop a gaming device,OT Practice,Fall 2020
229,"Keptner, Karen Marie",Chapter,"Transitions and their implications across the lifespan for the	OT in Primary Care ",Primary Care Occupational Therapy,Summer 2021
230,"Kostandy, Raouth R",Other,My Story,YON2020. https://www.yon2020neo.com/post/yon-2020-day-155-raouth-r-kostandy-phd-msn-rn-ckc,Summer 2020
231,"Kubec, Gina Lynn DiDonato",Presentation,"Optimizing Upper Extremity Reconstruction After SCI: An Interdisciplinary, Systematic and Iterative Approach. ",American Congress of Rehabilitation Medicine annual conference. ,Fall 2021
232,"Kubec, Gina Lynn DiDonato",Presentation,Neurorehabilitation After Upper Extremity Nerve Transfer: A Synthesis of the Research,Academy of Spinal Cord Injury Professionals,Fall 2021
233,"Kullman, Emily S",Journal Publication,Foregut Exclusion Enhances Incretin and Insulin Secretion After Roux-en-Y Gastric Bypass in Adults with Type 2 Diabetes,The Journal of clinical endocrinology and metabolism,Spring 2021
234,"Kullman, Emily S",Journal Publication,A Whole-Grain Diet Increases Whole-Body Protein Balance Compared with a Macronutrient-Matched Refined-Grain Diet,Current developments in nutrition,Fall 2021
235,"Lammers, Andrew R",Journal Publication,Muscle activity and kinematics show different responses to recurrent laryngeal nerve lesion in mammal swallowing,Journal of Neurophysiology,Fall 2020
236,"Lammers, Andrew R",Journal Publication,Effects of superior laryngeal nerve lesion on kinematics of swallowing and airway protection in an infant pig model,Dysphagia,Fall 2020
237,"Lammers, Andrew R",Presentation,Do quadrupeds conserve angular momentum during locomotion? A test using Rattus norvegicus,Society for Integrative and Comparative Biology,Spring 2023
238,"Layman, Deborah L",Poster Presentation,Music Therapy with an Older Adult with Post-Lingual Deafness and Acquired Profound Hearing Loss: A Three-Semester Case Study,American Music Therapy Association national conference,Summer 2020
239,"Layman, Deborah L",Poster Presentation,Undergraduate music therapy students' experiences in a flipped guitar methods course,American Music Therapy Association,Summer 2020
240,"Layman, Deborah L",Presentation,Creating and sustaining an effective music therapy peer supervision group.,Great Lakes/Midwest Regions of AMTA combined conference,Spring 2021
241,"Layman, Deborah L",Presentation,"Expert Clinical Panel on Autism, Asperger's, & Intellectual Disabilities",LCCC Psi Beta Speaker Series (& CSU's Psi Chi Chapter),Spring 2021
242,"Layman, Deborah L",Presentation,A Music Therapy Clinical Training and Supervision Telehealth Model to Meet Unique Needs of Clients and Teams,Milestones National Autism Conference,Summer 2021
243,"Layman, Deborah L",Book,The Child Music Therapy Protocols for Attachment and Abuse Recovery Issues,American Music Therapy Association,Summer 2021
244,"Layman, Deborah L",Poster Presentation,The Use of Preferred Music to Improve the Sleep Quality of  a High School Athlete with Post-Concussion Syndrome,CSU Undergraduate Student Research Poster Fair,Fall 2021
245,"Layman, Deborah L",Poster Presentation,The Use of Preferred Music to Improve the Sleep Quality of  a High School Athlete with Post-Concussion Syndrome,American Music Therapy Association national conference,Fall 2021
246,"Layman, Deborah L",Poster Presentation,The Feasibility of Integrating Music Therapy with Speech & Language Therapy in the  Treatment of Individuals with Communication Disorders: A Collaborative Training Model,American Music Therapy Association national conference,Fall 2021
247,"Lee, Eunice",Journal Publication,"Examining child flourishing, family resilience, and adversity in the 2016 National Survey of Children’s Health
",Journal of Pediatric Nursing,Fall 2022
248,"Lee, Eunice",Poster Presentation,Socio-ecological predictors of child and family resilience in children with adverse childhood experiences ,Council on Social Work Education (CSWE) Annual Meeting,Fall 2022
249,"Lee, Eunice",Presentation,Resilience in children with adverse childhood experiences: The role of environmental factors. ,American Public Health Association (APHA) Annual Meeting,Spring 2023
250,"Lewandowski, Cathleen Anne",Chapter,The Professor goes to war:  Serving as Team Leader for a combat stress unit in Iraq,Combat social workers: Applying the lessons of war to the realities of human services,Fall 2021
251,"Lewandowski, Cathleen Anne",Chapter,Risk factors for cannabis misuse and dependence,Medical Marijuana: A Guidebook for Professionals,Summer 2022
252,"Lundeen-Smith, Lori Frances",Other,MTs and SLPs:  Creative collaborations [Webinar],2021 ASD Webinar Series. Music Therapy Consulting,Spring 2021
253,"Mallett, Christopher Allen",Journal Publication,Positive aspects of family caregiving for older adults dying of dementia: A qualitative study at end-of-life.,Journal of Social  Work in End-of-Life & Palliative Care.   ,Fall 2020
254,"Mallett, Christopher Allen",Journal Publication,"School shootings and security lock downs: Myths, positive school climates, and safer campuses",Juvenile and Family Court Journal,Fall 2020
255,"Mallett, Christopher Allen",Journal Publication,Explaining trauma and crime by gender and sexual orientation among youth: Findings from the Add Health national longitudinal study.,Crime & Delinquency,Spring 2021
256,"Mallett, Christopher Allen",Chapter,"School shootings, locked-down campuses, and fear: Moving from control and zero tolerance approaches toward rehabilitative schools  and the use of effective trauma and mental health interventions","Impact of school shootings on classrooms, culture, curriculum, and learning",Summer 2021
257,"Mallett, Christopher Allen",Journal Publication,Explaining trauma and crime by gender and sexual orientation among youth: Findings from the Add Health national longitudinal study,Crime & Delinquency,Summer 2021
258,"Mallett, Christopher Allen",Chapter,"School resource (police) officers in schools: Impact on campus safety, student discipline, and learning","Impact of school  shootings on classrooms, culture, curriculum, and learning",Fall 2021
259,"Mallett, Christopher Allen",Chapter,Preventing adolescent and adult mass shooters: Trauma and intervention,"Research anthology on mental health stigma, education, and  treatment",Fall 2021
260,"Mallett, Christopher Allen",Journal Publication,Police in schools (school resource officers): A paradox and dilemma,Juvenile and Family Court Journal,Spring 2022
261,"Mallett, Christopher Allen",Journal Publication,The “learning disabilities-to-prison” pipeline: Evidence from the Add Health national  longitudinal study. ,Crime & Delinquency,Spring 2022
262,"Mallett, Christopher Allen",Chapter,Building resilience in juvenile offenders,Handbook of resilience in children (3rd edition). ,Spring 2023
263,"Mallett, Christopher Allen",Chapter,The child maltreatment to juvenile delinquency pathway: Evidence and interventions.,"New perspectives on mental health Issues of child  maltreatment: Multidisciplinary strategies for assessment and intervention,",Spring 2023
264,"Matcham, William Arthur",Presentation,Entrepreneurial design of a mobile application for data collection in underserved communities. ,MNRS 2021 - 45th Annual Research Conference: Guaranteed Symposium Session: Maximizing Partnership Power: Collaboration in Disruptive times. ,Spring 2021
265,"Matcham, William Arthur",Patent,System and Method for Automatically Recognizing Activities and Gaze patterns in Human Patient Simulations,Provisional Patent Application Filed,Summer 2022
266,"Matcham, William Arthur",Patent,System for improving healthcare through community engagement,"Provisional Patent Application [# US 62/916,610]. Filed October 17, 2019. Conversation to full utility patent application [#17/072,984] filed October 16, 2020. ",Summer 2022
267,"Matcham, William Arthur",Journal Publication,Scoping Review of the Definitions and Measurement of Engagement for Persons Living with Dementia,Journal of Aging and Long Term Care,Summer 2022
268,"Matthews, Janterria",Presentation,What are health Disparities,GCNA ,Spring 2022
269,"Matthews, Janterria",Poster Presentation,Opioid Risk Prediction,Midwest Nursing Research Society,Summer 2022
270,"McGinty, Patrick Kevin",Presentation,Workplace Wellness: Bringing PT to Industry,LEAP: Linking Evidence and Practice,Fall 2020
271,"McGinty, Patrick Kevin",Presentation,Recharging Our Batteries: Why Are We Sleep Deprived and Why Does It Matter?,Transform 2021,Spring 2021
272,"McGinty, Patrick Kevin",Presentation,I don't know what you do! A campus-based clinical model to develop the student PT-PTA relationship.,Transform 2022,Spring 2022
273,"McGinty, Patrick Kevin",Presentation,Strategies for Developing the PT-PTA Relationship in New Professionals.,Ohio Physical Therapy Association Leadership Development Conference,Fall 2022
274,"McIntyre, Karen E",Presentation,Level 1 Credentialed Clinical Instructor Program,American Physical Therapy Association,Fall 2021
275,"McIntyre, Karen E",Presentation,Level 1 Credentialed Clinical Instructor Program,American Physical Therapy Association,Spring 2022
276,"McIntyre, Karen E",Presentation,Efficiencies in Mentoring Students,Cleveland Clinic Rehabilitation & Sports Therapy: Supervising and Mentoring Students - What's the Big Deal?,Spring 2022
277,"McIntyre, Karen E",Presentation,A New Model to Advance a Collaborative Clinical Education Placement Process: A Consortium Core Network,American Physical Therapy Association's Educational Leadership Conference,Fall 2022
278,"McIntyre, Karen E",Presentation,Exploring Imposter Syndrome and Perfectionism in Doctor of Physical Therapy Students. ,American Physical Therapy Association's Combined Sections Meeting 2023,Spring 2023
279,"McIntyre, Karen E",Presentation,Level 1 Credentialed Clinical Instructor Program,American Physical Therapy Association,Spring 2023
280,"McIntyre, Karen E",Presentation,Building the Future of the Profession Through Collaborative Clinical Education Processes,Ohio Physical Therapy Association's Spring 2023 Conference,Spring 2023
281,"Milidonis, Mary K",Journal Publication,Performing with Pain: Tools to Guide Rehabilitation and Injury Prevention for Professional Ballet Dancers,Orthopaedic Physical Therapy Practice,Summer 2020
282,"Milidonis, Mary K",Poster Presentation,Something Clicks: Foundations to Translate Health Promotion with Health Literacy Tools for DPT Students,NEXT American Physical Therapy Conference,Summer 2020
283,"Milidonis, Mary K",Poster Presentation,"The effect of dance-specific neuromuscular conditioning and injury prevention training on motor control, stability, balance and function in professional contemporary ballet dancers. ",NEXT Conference,Summer 2020
284,"Milidonis, Mary K",Journal Publication,Knowledge Translation: What is it? ,GeriNotes.,Summer 2020
285,"Milidonis, Mary K",Poster Presentation,Mobility Matters: A Pilot Study on Increasing Health Literacy Among Fall-Risk Elders,Gerontological Society of America,Fall 2020
286,"Milidonis, Mary K",Journal Publication,"The Impact of Dance-Specific Neuromuscular Conditioning and Injury Prevention Training on Motor Control, Stability, Balance, Function and Injury in Professional Ballet Dancers: A Mixed-Methods Quasi-Experimental Study",International Journal of Sports Physical Therapy,Spring 2021
287,"Milidonis, Mary K",Proceedings Publication,Experience of Physical Therapy Students Mentoring Older Adults with Health Literacy Tools,Gerontological Society of America,Fall 2021
288,"Milidonis, Mary K",Poster Presentation,The lived experience of doctor of physical students when using health literacy tools with older adults., Combined Sections Meeting,Spring 2022
289,"Milidonis, Mary K",Proceedings Publication,Are Pain Apps Usable? A Health Literacy Framework,Gerontological Society of America,Summer 2022
290,"Milidonis, Mary K",Chapter,Health Literacy Implications for Older Adults: Essentials for Physical Therapy Practitioners and Other Healthcare Professionals,Physical Therapy and the Aging Adult: An Independent Home Study Course,Summer 2022
291,"Milidonis, Mary K",Poster Presentation,Exploring facilitators and barriers to using mobile pain applications in physical therapy practice.,LEAP OPTA,Fall 2022
292,"Milidonis, Mary K",Presentation,Mentoring Physical Therapy Students to be Reciprocal Mentors with Diverse Older Adults,University of New Mexico Mentoring Institute,Fall 2022
293,"Milidonis, Mary K",Poster Presentation,Health Literacy Tools: Improving Use of Health Information,Combined Sections  Meeting,Spring 2023
294,"Milliken, Barbara Elizabeth",Journal Publication,Clients' Perspectives of Spirituality in Occupational Therapy: A Retrospective Study ,Open Journal of Occupational Therapy,Summer 2020
295,"Milliken, Barbara Elizabeth",Presentation,Clients’ Perspectives of Spirituality in Occupational Therapy,North Coast District of OOTA  Annual Workshop - Zoom Recording Available for Purchase through OOTA,Summer 2020
296,"Milliken, Barbara Elizabeth",Presentation,A Functional Collaboration: Occupational Therapy in the Justice System,Ohio Department of Rehabilitation and Corrections ,Spring 2021
297,"Milliken, Barbara Elizabeth",Presentation,Military Mental Health Chat ,Panel Presentation,Spring 2021
298,"Milliken, Barbara Elizabeth",Journal Publication,A Comparison of Perspectives of Inmates vs. Staff in Determining Critical Content for Occupational Therapy Transitional Programming with Female Inmates ,Women and Criminal Justice,Fall 2022
299,"Milliken, Barbara Elizabeth",Journal Publication,Occupational disruption amid COVID-19 movement restrictions: A qualitative study exploration,Journal of Occupational Science,Spring 2023
300,"Nobile, Jessica",Journal Publication,A Qualitative Analysis of Gay Men's Recollection of Parental Approaches gto Talking about Sex and Sexual Behaviors,Journal of GLBT Family Studies,Summer 2020
301,"Olszewski, Carol Ann",Presentation,"Action is Demonstrative of Critical Reflection and ""Disorienting Dilemma"" Is Démodé",Adult Education in Global Times: An International Research Conference,Summer 2020
302,"Olszewski, Carol Ann",Presentation,Clinical Training of the Music Therapy Professoriate,National Conference,Summer 2020
303,"Olszewski, Carol Ann",Chapter,Peer Mentoring within Communities of Practice,"New Directions in Adult and Continuing Education (NDACE) - Mentoring, Learning, and Leadership in Adult and Continuing Educational Spaces",Fall 2020
304,"Olszewski, Carol Ann",Journal Publication,Peer mentoring within communities of practice: Reflections from newly minted PhDs.,"New Directions in Adult and Continuing Education (NDACE) - Mentoring, Learning, and Leadership in Adult and Continuing Educational Spaces.  ",Fall 2020
305,"Olszewski, Carol Ann",Chapter,Faculty socialization and gaining tenure: Ethical concerns and considerations.,Handbook of Research on Ethical Challenges in Higher Education Leadership and Administration,Fall 2020
306,"Olszewski, Carol Ann",Proceedings Publication,Action is demonstrative of critical reflection and “disorienting dilemma” is démodé.,"Adult Education in Global Times: An International Research Conference proceedings. University of British Columbia, BC, Canada.",Summer 2021
307,"Olszewski, Carol Ann",Journal Publication,Utilizing autoethnography within a course structure to support developing researchers,Adult Learning,Spring 2022
308,"Olszewski, Carol Ann",Chapter,The development of a doctoral program CoP and its members,Research Anthology on Doctoral Student Professional Development ,Spring 2022
309,"Olszewski, Carol Ann",Chapter,The Development of a Doctoral Program CoP and Its Members,Research Anthology on Doctoral Student Professional Development,Spring 2022
310,"Olszewski, Carol Ann",Presentation,Utilizing trauma-informed andragogy in the music therapy classroom: Meeting student needs while exceeding entry-level copetence,National Conference ,Summer 2022
311,"Olszewski, Carol Ann",Presentation,Utilizing content analysis to examine improvements to music therapy research.,National Conference,Summer 2022
312,"Olszewski, Carol Ann",Presentation,"Reading, interpreting, and evaluating qualitative research in the clinical arts","Great Lakes Region of the American Music Therapy Association, Fall 2022 Symposium",Fall 2022
313,"Pataki, Kristen Marie",Presentation,"A Play-Based Adapted Aquatic Program for Children with Sensory Processing Challenges: The Effect on Children's Performance, Parent Perceptions, and Hands-On Learning Experience for OT Students",Ohio Occupational Therapy Association Conference,Summer 2022
314,"Pataki, Kristen Marie",Poster Presentation,"The Effectiveness of Interventions for Children with Low Functioning Autism in the School, Clinic, and Home Settings: A Systematic Review",Ohio Occupational Therapy Association Conference,Summer 2022
315,"Pesek, Todd J",Journal Publication,A review of Ethnobotany and Ethnopharmacology of traditional medicines used by Q’eqchi Maya healers in Southern Belize.,Botany,Spring 2022
316,"Pesek, Todd J",Chapter,“Sickness and Healing” in Handler S Ed. The Commonality of Humans Through Art—How art connects mankind through the ages ,The Commonality of Humans Through Art—How art connects mankind through the ages ,Spring 2023
317,"Polk, Pretti Lane",Journal Publication,Pediatric headache attributed to infection,Seminars in Pediatric Neurology,Fall 2021
318,"Reese, Karla Danielle",Presentation,Effective Clinical Supervision ,Cleveland Clinic Foundation - Rehabilitation Education,Summer 2020
319,"Reese, Karla Danielle",Presentation,Sex Ed Sunday: Live Virtual Q & A Event,Webinar,Fall 2020
320,"Reese, Karla Danielle",Presentation,Sexual activity in occupational therapy practice ,Student Occupational Therapy association meeting ,Fall 2020
321,"Reese, Karla Danielle",Presentation,Sexual activity in occupational therapy practice ,Student Occupational Therapy association meeting ,Fall 2020
322,"Reese, Karla Danielle",Presentation,A roadmap to NBCOT certification and Ohio Licensure,Ohio Ohio Occupational Therapy Association 2020 Annual Conference,Fall 2020
323,"Reese, Karla Danielle",Presentation,Growth or Fixed? That is the Question: Exploring Your Mindset,OOTA North Coast District Mid Year Conference ,Spring 2021
324,"Reese, Karla Danielle",Poster Presentation,Quality of Life Issues Among Individuals with Inflammatory Bowel Disease:  Implications for Occupational Therapy Practitioners.,AOTA Inspire,Spring 2022
325,"Reese, Karla Danielle",Chapter,Sexual Activity and Intimacy,Adult physical conditions: Intervention strategies for occupational therapy assistants ,Spring 2022
326,"Reese, Karla Danielle",Presentation,The role of sexuality as an ADL,OTs in Pelvic Health Summit,Fall 2022
327,"Reese, Karla Danielle",Poster Presentation,Quality of Life Issues Among Individuals with Inflammatory Bowel Disease:Implications for Occupational Therapy Practitioners,Ohio Occupational Therapy Association ,Fall 2022
328,"Reese, Karla Danielle",Presentation,The role of sexuality as an ADL, OTs in Pelvic Health Summit,Fall 2022
329,"Reese, Karla Danielle",Poster Presentation,Best Practices in Clinical Education for Occupational Therapy Graduate Students: A Systematic Review.,Ohio Occupational Therapy Association,Fall 2022
330,"Reese, Karla Danielle",Presentation,Sexual health in pediatric populations: An occupational justice perspective,World Occupational Science Conference 2022,Fall 2022
331,"Reese, Karla Danielle",Chapter,"Personal narratives of sex, intimacy, and meaning.  ",Sexual and intimacy: an occupational therapy approach.  . ,Spring 2023
332,"Reese, Karla Danielle",Presentation,Using a positive solution-focused approach to enhance education related to the global practice of OT in addressing sexuality and intimacy ,American Occupational Therapy Association INSPIRE 2023 Conference,Spring 2023
333,"Reese, Karla Danielle",Presentation,"Address, assess, & measure performance related to sexuality & intimacy with comfort, competence, and confidence: An introduction to the OPISI ",American Occupational Therapy Association INSPIRE 2023 Conference,Spring 2023
334,"Reese, Karla Danielle",Poster Presentation,Exploring the Possibilities for Interprofessional Collaboration in Sexuality and Intimacy  ,Ohio Occupational Therapy Association Annual Conference ,Spring 2023
335,"Reese, Karla Danielle",Chapter,Sexual activity,Sexual and intimacy: an occupational therapy approach. ,Spring 2023
336,"Reese, Karla Danielle",Poster Presentation,"Growth mindset: empowering students to be lifelong learners  
 ",American Occupational Therapy Association INSPIRE 2023,Spring 2023
337,"Reese, Karla Danielle",Presentation,Don't take your research to your grave,Society for the Study of Occupation ,Spring 2023
338,"Reese, Karla Danielle",Presentation, Sexual Activity: The 8th ADL [Panel discussion].  ,Occupational Therapy Association of California Special Topics Forum,Spring 2023
339,"Reese, Karla Danielle",Presentation,The greatest profession no one knows about: advocating for the future of occupational therapy ,On-demand webinar for Cleveland Clinic Foundation.   ,Spring 2023
340,"Reese, Karla Danielle",Presentation,Mentoring in healthcare,University Hospitals Home Care Meeting,Spring 2023
341,"Rice, Heather Marie",Presentation,Supporting Pregnant Black Women during COVID-19: The Essential Role of Perinatal Support Professionals,Council on Social Work Education Annual Program Meeting,Fall 2022
342,"Runner, Tonya Renee",Journal Publication,Utility of the Beck Depression Screening Inventory in Patients with Chronic Kidney Disease Stage IV,Nephrology Nursing Journal ,Summer 2020
343,"Runner, Tonya Renee",Journal Publication,Utility of the Beck Depression Inventory in Patients with Chronic Kidney Disease Stage 4 without Kidney Replacement Therapy,Nephrology Nursing Journal ,Summer 2022
344,"Sahley, Tony L",Other,COVID IMPACT STATEMENT,CSU,Spring 2022
345,"Sarver, Wendy Lee",Poster Presentation,Prep to practice: Using transition theory to determine the current state of newly licensed nurses,Ohio League For Nursing,Spring 2023
346,"Sarver, Wendy Lee",Presentation,Pitfalls to Avoid in the Doctor of Nursing Practice Project.,Ohio League for Nursing,Spring 2023
347,"Seck, Mamadou Mansor",Journal Publication,Turning Boxes into Supportive Circles: Enhancing Online Group Work Teaching During the Covid-19 Pandemic. Journal of Social with Groups. ,Journal of Social Work With Groups,Spring 2021
348,"Seck, Mamadou Mansor",Journal Publication,We need mutual aid too: group work instructors helping each other navigate online teaching,Social Work with Groups,Fall 2021
